platform,item_id,product_name,rating,review_text,buyer_name,date,review_length,is_substantive
Lazada,2156666538,HGHMNDS - DIAGRAM,5,super ganda nya thankyou po❤😍,Delyn A.,2023-01-06,29,True
Lazada,2156666538,HGHMNDS - DIAGRAM,5,Goods na goods. ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️Goods na goods. ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️Goods na goods. ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,A***.,2022-11-16,114,True
Lazada,2156666538,HGHMNDS - DIAGRAM,5,walang pa sticker ngayon? pero good padin walang pag babago 🔥,Jomar I.,2023-01-19,61,True
Lazada,2156666538,HGHMNDS - DIAGRAM,5,"goods ang size large para sa mga 5'5-5-7 apaka solid ng design tas tela nila, worth it na worth it talaga kaya pa budol na rin kayu",0***7,2023-03-09,131,True
Lazada,2156666538,HGHMNDS - DIAGRAM,5,Goods na Goods. thank you seller.,Bayron M.,2022-10-12,33,True
Lazada,2156666538,HGHMNDS - DIAGRAM,5,Ganda grabi,Albert C.,2022-08-01,11,False
Lazada,2156666538,HGHMNDS - DIAGRAM,5,Fast Delivery. Fits perfectly. Fast Delivery. Fits perfectly. Fast Delivery. Fits perfectly.,M***.,2023-01-10,92,True
Lazada,2156666538,HGHMNDS - DIAGRAM,5,"Pagkatapos by OMAR BALIW
kanya-kanyang pasanin, kanya-kanyang aray
iba’t-ibang bagahe, iba’t-ibang sakay
iba’t-ibang hangarin, dasal sana palarin
at kung hindi mo kikilusan yan, wala rin
merong patibong, ang misyon nila harangin
ang oras mo sayangin at ikaw ay pabagalin
sagada ng pasensya, dito pisi pahabaan
sulit bawat oras kase buhay pasarapan
first hand naranasan, on the spot kong nalasahan
salamat lang isasagot pag ika’y napasahan
ugh, pagkatapos ng lahat
pagkatapos madapa, pagpag tuhod, m",9***4,2022-02-22,498,True
Lazada,2156666538,HGHMNDS - DIAGRAM,5,solid as always🫶🏿hhhhhhhhhggggggggghghhhhhhhgghhhhhgggggggggggggghhhhhhhhhhh,9***6,2022-08-25,76,True
Lazada,2156666538,HGHMNDS - DIAGRAM,5,Thank you!!❤️,Katrina C.,2022-07-05,13,False
Lazada,2156666538,HGHMNDS - DIAGRAM,5,at always it deserve a fibe star,Mark B.,2022-12-13,32,True
Lazada,2156666538,HGHMNDS - DIAGRAM,5,wala ng sitcker 🥺,Tmmy V.,2022-12-28,17,False
